EIN,Organization Name,City,State,Unrestricted Net Assets (Most Recent Year),Months of Cash (Most Recent Year),Expenses Total (Most Recent Year),Cash and Equivalent Assets,Investments US Government,Investments Stock,Investments Bonds,Investments Other,Land Buildings Equipment,Other Assets,Expenses Total (F990),Unrestricted Net Assets (F990),Net Fixed Assets LBE,Notes Payable Mortgages,Months of Cash (F990),Expenses Total (Part 9),Depreciation Total,Cash EOY,Savings EOY,Less Depreciation,LBE EOY,Tax Exempt Bonds EOY,Secured Notes Payable EOY,Unrestricted EOY,Cash Equivalent Investible Assets (PF990),Total Expenses (PF990),Months of Cash (Liquidity),Months of Cash and Investments,Months of Estimated Liquid Unrestricted Net Assets,Cash (Balance Sheet),Investments (Balance Sheet),Receivables (Balance Sheet),Gross Land Buildings and Equipment LBE,Unrestricted Net Assets (Balance Sheet)
36-4709977,CDP North America,New York,NY,8694432,6.4,47785556,13125858,0,0,0,0,0,0,47785556,8694432,0,0,6.4,47785556,31361,13125858,12419638,398449,42945,0,0,8694432,,,6.4,6.4,2.2,25545496,0,7039736,441394,8694432
27-1226829,The Center for Large Landscape Conservation,Bozeman,MT,2720326,1,3735117,56110,0,0,0,0,0,0,3735117,2720326,0,0,1,3735117,993,56110,242773,5793,1159,0,0,2720326,,,1,14.4,8.7,298883,4187199,1031775,6952,2720326
81-2560407,Carbon180,Washington,DC,20461180,21.1,8643374,6116541,0,0,0,0,0,0,8643374,20461180,0,0,21.1,8643374,0,6116541,9056856,0,0,0,0,20461180,,,21.1,30.1,28.4,15173397,6526508,3870986,0,20461180
83-0959411,Colorado Plateau Foundation,FLAGSTAFF,AZ,6631956,35.9,1955992,5845506,0,0,0,0,0,0,1955992,6631956,0,0,35.9,1955992,2956,5845506,0,8602,7186,0,0,6631956,,,35.9,35.9,40.7,5845506,0,1279000,15788,6631956
83-0259411,Wyoming Outdoor Council,Lander,WY,8484510,14.3,1451881,1707423,0,0,0,0,0,0,1451881,8484510,0,0,14.3,1451881,19010,1707423,0,171998,2639175,0,0,8484510,,,14.3,61.2,49,1707423,5604339,145624,2811173,8484510
86-0512633,Grand Canyon Trust,Flagstaff,AZ,39930427,15.5,6769366,5820288,0,0,0,0,0,0,6769366,39930427,0,0,15.5,6769366,77288,5820288,2831966,1013854,647677,0,0,39930427,,,15.5,78.9,70.4,8652254,35367792,3900169,1661531,39930427
85-3261449,Open Earth Foundation,MARINA DEL REY,CA,3262527,2.1,1459827,258144,0,0,0,0,0,0,1459827,3262527,0,0,2.1,1459827,2984,258144,0,4923,9734,0,0,3262527,,,2.1,26.8,26.8,258144,2993865,9400,14657,3262527
81-2560407,Carbon180,Washington,DC,20461180,21.1,8643374,6116541,0,0,0,0,0,0,8643374,20461180,0,0,21.1,8643374,0,6116541,9056856,0,0,0,0,20461180,,,21.1,30.1,28.4,15173397,6526508,3870986,0,20461180
77-0155782,"The Global Fund for Women, Inc.",San Francisco,CA,43625166,15.6,33129555,43114773,0,0,0,0,0,0,33129555,43625166,0,0,15.6,33129555,0,43114773,0,0,0,0,0,43625166,,,15.6,33.4,15.8,43114773,49152386,17447027,0,43625166
23-7323629,National Family Planning & Reproductive Health Assocation,Washington,DC,3741248,9.4,6918413,5382451,0,0,0,0,0,0,6918413,3741248,0,0,9.4,6918413,21842,5382451,0,674942,50427,0,0,3741248,,,9.4,11.1,6.4,5382451,978348,26923,725369,3741248
23-7069110,Oxfam America,Boston,MA,19747546,1.6,84094310,11312195,0,0,0,0,0,0,84094310,19747546,0,0,1.6,84094310,229568,11312195,0,1982073,1164490,0,0,19747546,,,1.6,8.1,2.7,11312195,45108561,14155565,3146563,19747546
20-5263777,Medical Students for Choice,Philadelphia,PA,5459372,19.2,1552947,185007,0,0,0,0,0,0,1552947,5459372,0,0,19.2,1552947,2759,185007,2297934,26497,3363,0,0,5459372,,,19.2,45.6,42.2,2482941,3407823,319379,29860,5459372
36-4799986,National Asian Pacific American Womens Forum,Chicago,IL,12903142,31.9,5211102,1053549,0,0,0,0,0,0,5211102,12903142,0,0,31.9,5211102,2339,1053549,12783085,4872,6821,0,0,12903142,,,31.9,41.3,29.7,13836634,4090777,2634200,11693,12903142
52-2351337,CENTER FOR GLOBAL DEVELOPMENT,Washington,DC,36558036,10.7,21030372,0,0,0,0,0,0,0,21030372,36558036,0,0,10.7,21030372,619034,0,18154954,6751424,12604598,9701116,0,36558036,,,10.7,25.9,19.8,18154954,25943806,2603435,19356022,36558036
13-1687001,"Population Council, Inc.",New York,NY,110253454,3.6,79500577,18756158,0,0,0,0,0,0,79500577,110253454,0,0,3.6,79500577,1338442,18756158,4764312,28673584,6253404,0,0,110253454,,,3.6,21.7,16,23520470,117938651,11772431,34926988,110253454
47-4003615,Groundswell Fund,San Francisco,CA,26556586,19,24372876,2756386,0,0,0,0,0,0,24372876,26556586,0,0,19,24372876,36060,2756386,35850115,215810,10469,0,0,26556586,,,19,19,13.1,38606501,0,6181330,226279,26556586
85-4241927,"The Highland Project, Inc.",New York City,NY,5599805,10.8,2947685,2665141,0,0,0,0,0,0,2947685,5599805,0,0,10.8,2947685,0,2665141,0,0,0,0,0,5599805,,,10.8,10.8,22.8,2665141,0,2641500,0,5599805
47-5672323,Institute for Strategic and Equitable Development,Bronx,NY,1565302,21.1,891881,1565302,0,0,0,0,0,0,891881,1565302,0,0,21.1,891881,0,1565302,0,0,0,0,0,1565302,,,21.1,21.1,21.1,1565302,0,0,0,1565302
94-3361252,Hunters Point Family,San Francisco,CA,712839,0.1,10224163,88439,0,0,0,0,0,0,10224163,712839,0,0,0.1,10224163,53387,88439,0,164400,0,0,0,712839,,,0.1,0.1,0.8,88439,0,1707444,164400,712839
82-2309274,Showing Up for Racial Justice Education Fund Inc,Buffalo,NY,931007,7.6,3578054,2259198,0,0,0,0,0,0,3578054,931007,0,0,7.6,3578054,0,2259198,0,0,0,0,0,931007,,,7.6,7.6,3.1,2259198,0,251,0,931007
88-3806564,Bld Pwr Inc,Los Angeles,CA,0,4.3,652974,234780,0,0,0,0,0,0,652974,0,0,0,4.3,652974,0,234780,0,0,0,0,0,0,,,4.3,4.3,4.3,234780,0,0,0,0
82-4788124,Workers Lab,Oakland,CA,367796,2.5,3254693,681865,0,0,0,0,0,0,3254693,367796,0,0,2.5,3254693,0,681865,0,0,0,0,0,367796,,,2.5,2.5,1.4,681865,0,238123,0,367796
82-5248574,Array Alliance Inc,Encino,CA,0,1.7,17345221,1159737,0,0,0,0,0,0,17345221,0,0,27296,1.7,17345221,515467,1159737,1181637,835575,1035142,0,27296,0,,,1.7,7,7.8,2341374,7481680,1911232,1870717,0
01-0679337,San Francisco Foundation,San Francisco,CA,661183558,0,212475588,0,0,0,0,0,0,0,212475588,661183558,0,0,0,212475588,246489,0,81492,5235806,135525,0,0,661183558,,,0,94,37.4,81492,1661927081,12517745,5371331,661183558
94-1241309,KQED Inc.,San Francisco,CA,258767685,4.4,104854074,900,0,0,0,0,0,0,104854074,258767685,0,0,4.4,104854074,6953997,900,36066154,45660228,106039140,0,0,258767685,,,4.4,24.2,18.7,36067054,161176924,16283570,151699368,258767685
65-0350357,The Miami Foundation,Miami,FL,421495112,0.5,79026991,432500,0,0,0,0,0,0,79026991,421495112,0,0,0.5,79026991,103350,432500,2949659,898552,131471,0,0,421495112,,,0.5,77.5,64.1,3382159,506596205,1194766,1030023,421495112
95-2219680,Teach Democracy,Los Angeles,CA,6184879,4.6,2637802,440853,0,0,0,0,0,0,2637802,6184879,0,144323,4.6,2637802,72099,440853,543642,792805,1305528,0,144323,6184879,,,4.6,25.6,23.5,984495,4484562,213710,2098333,6184879
54-1848713,America's Promise - The Alliance for Youth,Washington,DC,12478835,1.6,6781361,867864,0,0,0,0,0,0,6781361,12478835,0,0,1.6,6781361,122865,867864,0,362725,609104,0,0,12478835,,,1.6,23.7,21.4,867864,12267308,2072334,971829,12478835
95-4298811,COMMUNITY COALITION FOR SUBSTANCE ABUSE PREVENTION & TREATMENT,Los Angeles,CA,20318606,21.5,9624216,6682073,0,0,0,0,0,0,9624216,20318606,0,6331009,21.5,9624216,203788,6682073,10170402,2342147,10067993,0,6331009,20318606,,,21.5,21.5,21.1,16852475,0,4236933,12410140,20318606
84-2130536,"Solidaire Network, Inc",Oakland,CA,1880905,3.3,14539604,383749,0,0,0,0,0,0,14539604,1880905,0,0,3.3,14539604,0,383749,3605946,0,0,0,0,1880905,,,3.3,3.5,1.6,3989695,219906,1743204,0,1880905
83-1316290,BlackFemaleProject,BERKELEY,CA,948580,5,1166439,284997,0,0,0,0,0,0,1166439,948580,0,0,5,1166439,0,284997,198223,0,0,0,0,948580,,,5,5,9.8,483220,0,465313,0,948580
52-1705073,Poverty and Race Research Action Council,Washington,DC,1036327,11.1,1607727,838466,0,0,0,0,0,0,1607727,1036327,0,0,11.1,1607727,1167,838466,646969,12865,2409,0,0,1036327,,,11.1,11.1,7.7,1485435,0,572956,15274,1036327
45-4585989,VOLCKER ALLIANCE INC,New York,NY,16359660,2.8,5150241,590440,0,0,0,0,0,0,5150241,16359660,0,0,2.8,5150241,74685,590440,585231,225635,243265,0,0,16359660,,,2.8,45.1,38.1,1175671,17918940,2134716,468900,16359660
47-2158694,Center for Technology and Civic Life,Chicago,IL,18913093,15.7,22891404,8689909,0,0,0,0,0,0,22891404,18913093,0,0,15.7,22891404,24471,8689909,21231699,37029,39397,0,0,18913093,,,15.7,26.3,9.9,29921608,20155945,24186017,76426,18913093
52-1069070,"Joint Center For Political And Economic Studies, Inc.",Washington,DC,7290014,29.2,4007814,4662021,0,0,0,0,0,0,4007814,7290014,0,0,29.2,4007814,20007,4662021,5055519,0,0,0,0,7290014,,,29.2,29.2,21.9,9717540,0,1869781,0,7290014
52-1739443,"The Project on Government Oversight, Inc.",Washington,DC,8475037,5.3,7959144,351187,0,0,0,0,0,0,7959144,8475037,0,0,5.3,7959144,10542,351187,3165848,14142,179208,0,0,8475037,,,5.3,15.6,12.5,3517035,6825538,992496,193350,8475037
52-2096845,NEW AMERICA FOUNDATION,Washington,DC,12670306,5.4,40824022,16897453,0,0,0,0,0,0,40824022,12670306,0,0,5.4,40824022,518803,16897453,1396998,4420640,3435968,0,0,12670306,,,5.4,12.2,2.7,18294451,22731276,23013294,7856608,12670306
32-0280279,Convergence Center for Policy Resolution,Washington,DC,72246,1,4014388,311440,0,0,0,0,0,0,4014388,72246,0,0,1,4014388,15040,311440,29323,20185,23852,0,0,72246,,,1,1,0.1,340763,0,236249,44037,72246
13-3839293,WILLIAM J BRENNAN JR CENTER FOR JUSTICE INC,New York,NY,184024268,5.3,41731749,18199906,0,0,0,0,0,0,41731749,184024268,0,500000,5.3,41731749,894881,18199906,0,4203253,4908789,0,500000,184024268,,,5.3,65.5,52.8,18199906,204603988,17807343,9112042,184024268
81-3815137,The Center for Election Innovation & Research,Washington,DC,11457775,9.8,3113871,2530628,0,0,0,0,0,0,3113871,11457775,0,0,9.8,3113871,3017,2530628,0,8419,9159,0,0,11457775,,,9.8,41.3,44.2,2530628,8171404,644787,17578,11457775
82-1475568,Black Arts Movement and Business District Community Development Cor,Oakland,CA,0,21.6,982711,1765871,0,0,0,0,0,0,982711,0,0,0,21.6,982711,113,1765871,0,113,10506,0,0,0,,,21.6,21.6,45.5,1765871,0,1949667,10619,0
54-2105425,Womens Audio Mission,San Francisco,CA,5077910,8.6,1629104,421159,0,0,0,0,0,0,1629104,5077910,0,0,8.6,1629104,0,421159,745947,526498,1540349,0,0,5077910,,,8.6,8.6,26.1,1167106,0,307144,2066847,5077910
94-3350817,Tibetan Association of Northern California,Richmond,CA,1855957,23.9,450372,319562,0,0,0,0,0,0,450372,1855957,0,258270,23.9,450372,84422,319562,409972,647035,1384693,0,258270,1855957,,,23.9,23.9,23.9,729534,0,0,2031728,1855957
94-3368964,YERBA BUENA ARTS & EVENTS,San Francisco,CA,2846680,21.5,1821389,143616,0,0,0,0,0,0,1821389,2846680,0,0,21.5,1821389,12343,143616,3096478,30033,164802,0,0,2846680,,,21.5,21.5,17.8,3240094,0,178920,194835,2846680
94-3124377,Axis Dance Company,Berkeley,CA,1254350,16.5,1235610,1692756,0,0,0,0,0,0,1235610,1254350,0,0,16.5,1235610,2899,1692756,0,50673,5778,0,0,1254350,,,16.5,18,12.2,1692756,153569,525729,56451,1254350
82-3947930,VITAL ARTS,Berkeley,CA,143240,10.8,143152,83367,0,0,0,0,0,0,143152,143240,0,0,10.8,143152,0,83367,45227,0,0,0,0,143240,,,10.8,10.8,12,128594,0,11833,0,143240
94-2565759,Playwrights Foundation Inc,San Francisco,CA,29941,1.2,256941,26483,0,0,0,0,0,0,256941,29941,0,0,1.2,256941,0,26483,0,0,0,0,0,29941,,,1.2,1.2,1.4,26483,0,60348,0,29941
23-7255426,WESTERN STATES ARTS FEDERATION (WESTAF),Denver,CO,7771214,0.5,8341682,360538,0,0,0,0,0,0,8341682,7771214,0,0,0.5,8341682,52730,360538,0,1828761,217794,0,0,7771214,,,0.5,13.9,10.9,360538,9240316,1119074,2046555,7771214